,cluster_id,no of V,no of E,width,len,inputs,outputs,fund_in,fund_out
0,0x762bcb07c52258cded1487cd0f172d9c18752502d188358d4a6e3c1686723c9f,2,1,1,1,['0x17289f2461b9ca67a8d6ffbef81cca77663371dd'],['0x069eef078c64d58d60ef1adb0340694b4c3a8158'],3.0,3.0
1,0x79edf78b08e5d5aacfc43c06aedbb6c1043a6f5ba8613f5613e5e5c329190663,2,1,1,1,['0x1f5671036be83e44e57884929482af6a28719bc7'],['0x599d4f9ceb955b6a6fe449ac118cc9a189c93d6d'],31.44336428330659,31.44336428330659
2,0xa8e4bcfd759ee7f7180da419fac4fcea6cadac67455854ac511ffa9e83cc4914,5,4,1,4,['0xac797aaa2f4f93f3122b3c68a2103a7cad5f2f14'],['0x23aa352e8cee8da5c16543e2b9cc5e96b3f03f3e'],2.262382174504919,2.315860331461537
3,0x30bbfab66447c94abf4d3a447c195ef7a87c664db5a9d8c2a93dc2685a691cda,79,79,2,76,"['0x51a983d16d7fa9d34a1b3e5ad3ec12100d076b48', '0x0c735c4651f0b1db6fff122347ce58f3f9c10871']","['0xbd7935017a5eb5c3c54b803ce3297bd23969e68d', '0x6f5fb4fc00bb6b0e4a4f1b5fbbf835e5a907d3fd']",300.0,202.0
4,0xc5e4896ad102e551019ae0dd13652351c93ad2e5f941db89cd7a3cf56c3577bd,16,15,4,11,"['0x07b90f19ea61524b521affbe34014731c45aa0a9', '0xbbbe699c15a3fe3352bfd5ab136010285082fc86']","['0x99eb315e04b38ea36d2c9f99261df14cba3f5565', '0xe8bcc6ef224bb9f6c3a3a9b677e10f1142c0ea17', '0x283a51c69c73dfd04115b6bce763843a33800f22', '0x49c52db49d1a35ec08eb372203990cef25d8c38c']",88.72902413046732,542.2232321254896
5,0xb9797fb76479c003bdf9542f80570dc91a98fc64ada24190aa2ccf2b0c20d977,6,5,1,5,['0x2b38de9178aedccdbeb286d6fe422fb0783dbe73'],['0xa68dd22eeb1bb7788c74d3b80a9a7e97d9aaf187'],43.0,52.0
6,0x1fe62ea1f0f860748644e942a8c067bbc54e1642559cf53c78968aa716c0aa36,2,1,1,1,['0xd24394c3342cddba4ae9a51ad5df779043244f67'],['0xa41a87b608021e3024988b36d649f56d73a0f230'],2.3217296709009876,2.3217296709009876
7,0xf4222c2636eb59fad987ac55d527fee8900a1a53b5f439e721df76b27a4af2d7,5,7,3,4,['0xe4ce846f569eef8860d413398a17c0ba315f445a'],['0xac86849b56876ae6086d197caa95eefb2d13b2ca'],8.712152369774389,5.0
8,0x04b31b5b9611ca2a81bebee0e85dad1def9c6a923e1553505d7166312ea42ad9,7,6,2,5,"['0x90ba7158e370603ccccbfcf2ebf8d707e23b43f1', '0xdf41f13b6ecaeb8a5cb86cf9875126da3a35c536']","['0x38c7d4e647b0a22b6288ca1ba7b53706cf98f712', '0x499bc0fe99d87521668dbce5a095084872c90507']",49.419999999999995,33.0
9,0xf83f99d402fd00f40ae8b7518ec2705f5665ffe396703cf49dff84f78c1fd7f7,19,20,3,18,['0xd0915ae64d9b6ce3393a769f34670a96cd76e26a'],['0xa96ee0da680423dfa195640f60dde367156a34bd'],187.59958915374875,219.06251439886694
10,0x28a364fb450c9ae5887dcb5cd49940f8393d627201b16ce34ad018666c92da71,2,1,1,1,['0x8fa6f4a2791e794e9828fb76bf8f6b490fa20a67'],['0x85d85014143534c58ad4c35d3ef64f9838650aaf'],65.0,65.0
11,0x9045d754af55bc639a57fc13d8649e7be3ec1d68651bb9fb9ed649397fee6304,50,49,1,49,['0xae1c20916b955675cdeb4770bf2bfa75d7f8d165'],['0xaa2732c10d8f932eadf1071ebb312b7a6eb8717e'],4.861340731630208,7.806484328775115
