token,name,symbol,decimals,totalSupply
0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,PancakeSwap Token,Cake,18,1808213379751051201610995531
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD Token,BUSD,18,365596245875689184460959985
0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,18,1356006817363359720577984
0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,Cardano Token,ADA,18,451907177779999999990000000
0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,Band Protocol Token,BAND,18,2300000000000000000000000
0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,Polkadot Token,DOT,18,15999999991309562546802105
0x56b6fB708fC5732DEC1Afc8D8556423A2EDcCbD6,EOS Token,EOS,18,16990000000000000000000000
0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,ChainLink Token,LINK,18,9000000000000000000000000
0x55d398326f99059fF775485246999027B3197955,Tether USD,USDT,18,3984996427746565019730275862
0x4B0F1812e5Df2A09796481Ff14017e6005508003,Trust Wallet,TWT,18,999974483232999999832501820
0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,Venus,XVS,18,30000000000000000000000000
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,Ethereum Token,ETH,18,604999999959841101714212
0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB Token,BTCB,18,65300969999999992999744
0xa1faa113cbE53436Df28FF0aEe54275c13B40975,AlphaToken,ALPHA,18,1000000000000000000000000000
0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,XRP Token,XRP,18,325800000000000000000000000
0x0Eb3a705fc54725037CC9e008bDede697f62F335,Cosmos Token,ATOM,18,2019993600000000000000000
0x7F70642d88cf1C4a3a7abb072B53B929b653edA5,YFII.finance Token,YFII,18,1127000000000000000000
0x88f1A5ae2A3BF98AEAF342D26B30a79438c9142e,yearn.finance,YFI,18,900000000000000000000
0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,Uniswap,UNI,18,5559999999999999999999999
0x0D8Ce2A99Bb6e3B7Db580eD848240e4a0F9aE153,Filecoin,FIL,18,13809999999926705453635132
0xa2B726B1145A4773F68593CF171187d8EBe4d495,Injective Protocol,INJ,18,7500000000000000000000000
0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,Swipe,SXP,18,289714926000000000000000000
0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,CertiK Token,CTK,6,9136906074777
0xf79037F6f6bE66832DE4E7516be52826BC3cBcc4,HARD,HARD,6,22800002000000
0x728C5baC3C3e370E372Fc4671f9ef6916b814d8B,UNFI,UNFI,18,1320958482934326189999999
0x63870A18B6e42b01Ef1Ad8A2302ef50B7132054F,BLinkToken,blink,6,61645077829299
0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,VAI Stablecoin,VAI,18,4846243948694470676133086
0x233d91A0713155003fc4DcE0AFa871b508B3B715,Ditto,DITTO,9,7955130565037
0xF21768cCBC73Ea5B6fd3C687208a7c2def2d966e,Reef.finance,REEF,18,12069341581294794522000000000
0x72fAa679E1008Ad8382959FF48E392042A8b06f7,AllianceBlock Token,bALBT,18,9578743856442395617455505
0xdFF8cb622790b7F92686c722b02CaB55592f152C,Tenet,TEN,18,3438644250860967481653019
0x5Ac52EE5b2a633895292Ff6d8A89bB9190451587,BSCX,BSCX,18,9343230280951284282241886
